Customer Name,Product/Service Name,Product Type,Relationship Type,Status,Start Date,Last Interaction Date
Anna Miller,Personal Loan,Personal Loan,Borrower,Active,2024-08-06,2024-12-26
Chris Miller,Travel Insurance,Travel Insurance,Subscriber,Active,2022-08-31,2024-11-01
Emily Miller,Personal Loan,Personal Loan,Borrower,Active,2021-06-16,2025-08-09
Emily Miller,Travel Insurance,Travel Insurance,Subscriber,Active,2021-08-15,2025-05-24
Jane Miller,Life Insurance,Life Insurance,Subscriber,Active,2024-05-09,2025-01-15
Jane Miller,Savings Account,Savings Account,Holder,Active,2021-03-17,2025-05-04
Jane Miller,Mortgage,Mortgage,Borrower,Inactive,2023-04-08,2025-06-28
John Miller,Investment Portfolio,Investment Portfolio,Investor,Inactive,2021-11-02,2024-09-29
John Miller,Mortgage,Mortgage,Borrower,Active,2021-03-16,2025-04-06
John Miller,Travel Insurance,Travel Insurance,Subscriber,Inactive,2022-10-19,2024-09-23
Katie Miller,Savings Account,Savings Account,Holder,Active,2025-03-21,2025-04-24
Laura Miller,Current Account,Current Account,Holder,Inactive,2022-03-21,2025-04-05
Laura Miller,Mobile Banking,Mobile Banking,User,Inactive,2020-05-09,2024-10-17
Linda Miller,Current Account,Current Account,Holder,Inactive,2023-01-11,2025-07-23
Michael Miller,Mortgage,Mortgage,Borrower,Inactive,2021-09-18,2025-04-18
Michael Miller,Savings Account,Savings Account,Holder,Inactive,2022-02-03,2025-06-22
Robert Miller,Savings Account,Savings Account,Holder,Inactive,2023-12-26,2025-07-06
Robert Miller,Credit Card,Credit Card,Cardholder,Inactive,2023-02-12,2025-02-13
Robert Miller,Online Banking,Online Banking,User,Inactive,2022-08-07,2025-07-16
Tom Miller,Life Insurance,Life Insurance,Subscriber,Active,2020-07-28,2024-12-13
Tom Miller,Savings Account,Savings Account,Holder,Inactive,2023-09-17,2025-03-24
Alex Lewis,Personal Loan,Personal Loan,Borrower,Inactive,2022-02-09,2025-08-22
Alex Lewis,Mobile Banking,Mobile Banking,User,Active,2021-09-25,2025-03-14
Alex Lewis,Savings Account,Savings Account,Holder,Active,2022-04-07,2025-05-21
Anna Lewis,Savings Account,Savings Account,Holder,Inactive,2022-01-20,2024-10-16
Anna Lewis,Mobile Banking,Mobile Banking,User,Inactive,2021-04-09,2025-08-01
Anna Lewis,Credit Card,Credit Card,Cardholder,Active,2023-12-09,2025-01-12
Chris Lewis,Current Account,Current Account,Holder,Active,2024-05-11,2025-08-25
Emily Lewis,Life Insurance,Life Insurance,Subscriber,Inactive,2022-06-02,2024-12-21
Emily Lewis,Online Banking,Online Banking,User,Active,2023-01-20,2025-07-22
Jane Lewis,Mobile Banking,Mobile Banking,User,Inactive,2022-02-09,2024-09-21
Jane Lewis,Savings Account,Savings Account,Holder,Inactive,2022-08-24,2024-12-16
Jane Lewis,Life Insurance,Life Insurance,Subscriber,Inactive,2024-07-10,2025-04-24
John Lewis,Life Insurance,Life Insurance,Subscriber,Inactive,2023-09-30,2025-08-09
John Lewis,Savings Account,Savings Account,Holder,Active,2023-12-10,2025-03-30
John Lewis,Mortgage,Mortgage,Borrower,Active,2021-12-22,2025-09-09
Katie Lewis,Investment Portfolio,Investment Portfolio,Investor,Active,2020-09-07,2025-08-05
Laura Lewis,Travel Insurance,Travel Insurance,Subscriber,Active,2021-10-14,2024-10-03
Linda Lewis,Travel Insurance,Travel Insurance,Subscriber,Active,2022-01-17,2025-02-23
Linda Lewis,Savings Account,Savings Account,Holder,Active,2021-01-02,2025-03-14
Michael Lewis,Mobile Banking,Mobile Banking,User,Active,2022-06-26,2025-04-21
Michael Lewis,Travel Insurance,Travel Insurance,Subscriber,Inactive,2022-01-29,2025-03-25
Michael Lewis,Mortgage,Mortgage,Borrower,Inactive,2025-01-16,2025-06-06
Robert Lewis,Online Banking,Online Banking,User,Inactive,2024-11-21,2025-04-08
Tom Lewis,Life Insurance,Life Insurance,Subscriber,Active,2022-12-19,2025-01-17
Alex Jones,Investment Portfolio,Investment Portfolio,Investor,Inactive,2022-06-15,2025-03-16
Alex Jones,Credit Card,Credit Card,Cardholder,Active,2020-08-29,2025-03-21
Anna Jones,Investment Portfolio,Investment Portfolio,Investor,Inactive,2024-09-14,2024-10-07
Anna Jones,Personal Loan,Personal Loan,Borrower,Inactive,2023-08-01,2025-09-03
Anna Jones,Savings Account,Savings Account,Holder,Inactive,2020-05-08,2024-12-10
Chris Jones,Investment Portfolio,Investment Portfolio,Investor,Inactive,2023-08-19,2025-05-30
Chris Jones,Life Insurance,Life Insurance,Subscriber,Active,2021-03-21,2025-07-15
Emily Jones,Mobile Banking,Mobile Banking,User,Active,2021-01-02,2025-04-25
Emily Jones,Current Account,Current Account,Holder,Active,2024-03-05,2024-11-11
Jane Jones,Credit Card,Credit Card,Cardholder,Active,2024-09-06,2024-12-24
Jane Jones,Travel Insurance,Travel Insurance,Subscriber,Inactive,2024-10-23,2025-07-19
John Jones,Credit Card,Credit Card,Cardholder,Active,2022-05-16,2025-08-08
Katie Jones,Credit Card,Credit Card,Cardholder,Inactive,2025-01-09,2025-03-10
Katie Jones,Mortgage,Mortgage,Borrower,Inactive,2024-04-06,2025-01-18
Katie Jones,Mobile Banking,Mobile Banking,User,Inactive,2023-10-02,2025-08-02
Laura Jones,Personal Loan,Personal Loan,Borrower,Inactive,2021-07-16,2025-08-21
Laura Jones,Mobile Banking,Mobile Banking,User,Active,2023-10-05,2024-10-29
Linda Jones,Personal Loan,Personal Loan,Borrower,Active,2024-02-24,2025-06-25
Linda Jones,Savings Account,Savings Account,Holder,Active,2023-11-21,2025-02-02
Linda Jones,Mobile Banking,Mobile Banking,User,Inactive,2022-11-30,2025-05-31
Michael Jones,Current Account,Current Account,Holder,Inactive,2023-10-26,2025-06-27
Michael Jones,Savings Account,Savings Account,Holder,Inactive,2021-06-04,2025-01-02
Robert Jones,Personal Loan,Personal Loan,Borrower,Active,2021-09-05,2025-07-25
Robert Jones,Current Account,Current Account,Holder,Active,2023-07-02,2025-08-28
Tom Jones,Credit Card,Credit Card,Cardholder,Active,2022-01-13,2025-07-19
Tom Jones,Investment Portfolio,Investment Portfolio,Investor,Inactive,2021-06-11,2024-11-14
Alex Johnson,Mobile Banking,Mobile Banking,User,Active,2022-09-16,2025-04-19
Alex Johnson,Mortgage,Mortgage,Borrower,Active,2024-04-29,2025-04-21
Alex Johnson,Personal Loan,Personal Loan,Borrower,Active,2020-10-05,2024-12-18
Anna Johnson,Travel Insurance,Travel Insurance,Subscriber,Active,2020-10-08,2025-05-20
Chris Johnson,Credit Card,Credit Card,Cardholder,Active,2022-06-25,2025-02-10
Chris Johnson,Personal Loan,Personal Loan,Borrower,Inactive,2025-03-28,2024-12-26
Chris Johnson,Travel Insurance,Travel Insurance,Subscriber,Active,2023-08-25,2024-12-01
Emily Johnson,Online Banking,Online Banking,User,Inactive,2024-06-16,2025-07-15
Emily Johnson,Investment Portfolio,Investment Portfolio,Investor,Active,2022-03-04,2025-07-18
Emily Johnson,Credit Card,Credit Card,Cardholder,Active,2020-10-05,2025-08-13
Jane Johnson,Current Account,Current Account,Holder,Inactive,2023-07-10,2024-10-06
Jane Johnson,Mortgage,Mortgage,Borrower,Inactive,2025-06-05,2025-01-01
John Johnson,Life Insurance,Life Insurance,Subscriber,Inactive,2021-08-28,2024-10-27
John Johnson,Investment Portfolio,Investment Portfolio,Investor,Inactive,2023-12-18,2025-09-01
John Johnson,Savings Account,Savings Account,Holder,Active,2024-03-16,2024-12-12
Katie Johnson,Online Banking,Online Banking,User,Active,2021-12-29,2025-09-06
Katie Johnson,Mobile Banking,Mobile Banking,User,Active,2024-05-05,2025-09-02
Laura Johnson,Credit Card,Credit Card,Cardholder,Active,2023-11-13,2025-06-12
Laura Johnson,Savings Account,Savings Account,Holder,Inactive,2023-03-06,2025-07-08
Linda Johnson,Savings Account,Savings Account,Holder,Inactive,2025-01-16,2025-02-11
Michael Johnson,Savings Account,Savings Account,Holder,Inactive,2021-10-13,2025-08-21
Michael Johnson,Life Insurance,Life Insurance,Subscriber,Inactive,2023-12-31,2025-04-08
Robert Johnson,Online Banking,Online Banking,User,Inactive,2022-09-01,2025-08-27
Tom Johnson,Savings Account,Savings Account,Holder,Active,2021-06-06,2024-11-24
Alex Garcia,Current Account,Current Account,Holder,Active,2021-06-07,2025-08-01
Alex Garcia,Mobile Banking,Mobile Banking,User,Active,2021-07-04,2025-06-24
Anna Garcia,Mortgage,Mortgage,Borrower,Inactive,2020-10-21,2024-11-30
Anna Garcia,Personal Loan,Personal Loan,Borrower,Inactive,2021-04-25,2025-08-17
Anna Garcia,Mobile Banking,Mobile Banking,User,Active,2021-11-25,2025-06-15
Chris Garcia,Investment Portfolio,Investment Portfolio,Investor,Active,2023-09-22,2025-08-15
Chris Garcia,Current Account,Current Account,Holder,Inactive,2025-03-12,2025-05-15
Chris Garcia,Savings Account,Savings Account,Holder,Inactive,2023-12-14,2025-03-26
Emily Garcia,Credit Card,Credit Card,Cardholder,Active,2025-02-15,2025-08-14
Emily Garcia,Online Banking,Online Banking,User,Inactive,2023-09-23,2025-01-27
Emily Garcia,Savings Account,Savings Account,Holder,Active,2024-01-30,2025-01-09
Jane Garcia,Investment Portfolio,Investment Portfolio,Investor,Inactive,2022-12-02,2025-03-13
Jane Garcia,Mortgage,Mortgage,Borrower,Inactive,2021-09-27,2025-05-19
John Garcia,Current Account,Current Account,Holder,Inactive,2022-01-22,2025-08-01
John Garcia,Travel Insurance,Travel Insurance,Subscriber,Active,2024-10-10,2024-12-05
Katie Garcia,Online Banking,Online Banking,User,Inactive,2023-08-14,2025-04-06
Katie Garcia,Travel Insurance,Travel Insurance,Subscriber,Active,2021-08-15,2024-11-24
Katie Garcia,Current Account,Current Account,Holder,Inactive,2020-09-19,2025-04-13
Laura Garcia,Investment Portfolio,Investment Portfolio,Investor,Inactive,2021-09-09,2025-03-06
Laura Garcia,Current Account,Current Account,Holder,Inactive,2023-09-12,2025-06-01
Linda Garcia,Credit Card,Credit Card,Cardholder,Active,2021-04-11,2025-07-23
Linda Garcia,Current Account,Current Account,Holder,Inactive,2025-05-22,2024-10-22
Michael Garcia,Credit Card,Credit Card,Cardholder,Inactive,2023-04-18,2025-03-21
Michael Garcia,Current Account,Current Account,Holder,Active,2021-04-03,2025-04-29
Robert Garcia,Current Account,Current Account,Holder,Inactive,2022-12-09,2025-08-31
Robert Garcia,Online Banking,Online Banking,User,Inactive,2023-07-18,2025-02-25
Tom Garcia,Credit Card,Credit Card,Cardholder,Active,2020-06-29,2025-08-01
Tom Garcia,Investment Portfolio,Investment Portfolio,Investor,Active,2024-08-03,2025-08-26
Tom Garcia,Personal Loan,Personal Loan,Borrower,Active,2023-12-04,2025-08-14
Alex Davis,Mobile Banking,Mobile Banking,User,Active,2020-07-27,2025-03-05
Alex Davis,Credit Card,Credit Card,Cardholder,Inactive,2022-10-16,2024-11-20
Anna Davis,Online Banking,Online Banking,User,Inactive,2022-12-22,2025-07-17
Anna Davis,Life Insurance,Life Insurance,Subscriber,Inactive,2023-07-30,2024-11-19
Anna Davis,Credit Card,Credit Card,Cardholder,Active,2022-01-09,2024-10-30
Chris Davis,Credit Card,Credit Card,Cardholder,Inactive,2025-01-31,2024-10-30
Chris Davis,Savings Account,Savings Account,Holder,Inactive,2020-08-31,2025-03-09
Chris Davis,Investment Portfolio,Investment Portfolio,Investor,Inactive,2023-03-04,2025-01-19
Emily Davis,Savings Account,Savings Account,Holder,Active,2023-11-08,2024-10-19
Emily Davis,Mobile Banking,Mobile Banking,User,Inactive,2020-06-21,2025-08-30
Jane Davis,Online Banking,Online Banking,User,Inactive,2022-07-01,2025-02-26
Jane Davis,Life Insurance,Life Insurance,Subscriber,Inactive,2021-10-10,2025-05-03
Jane Davis,Credit Card,Credit Card,Cardholder,Inactive,2023-03-01,2024-12-17
John Davis,Current Account,Current Account,Holder,Inactive,2020-07-05,2025-07-24
John Davis,Personal Loan,Personal Loan,Borrower,Inactive,2023-10-03,2025-05-24
John Davis,Credit Card,Credit Card,Cardholder,Active,2021-03-04,2025-03-25
Katie Davis,Personal Loan,Personal Loan,Borrower,Active,2023-01-02,2025-06-07
Katie Davis,Investment Portfolio,Investment Portfolio,Investor,Inactive,2022-09-09,2025-07-22
Laura Davis,Credit Card,Credit Card,Cardholder,Active,2021-05-19,2025-01-17
Laura Davis,Personal Loan,Personal Loan,Borrower,Active,2021-03-30,2025-05-07
Linda Davis,Life Insurance,Life Insurance,Subscriber,Inactive,2022-06-27,2024-10-28
Linda Davis,Online Banking,Online Banking,User,Active,2020-04-06,2025-07-09
Michael Davis,Personal Loan,Personal Loan,Borrower,Active,2024-03-07,2025-03-01
Michael Davis,Current Account,Current Account,Holder,Inactive,2024-06-23,2025-07-13
Michael Davis,Life Insurance,Life Insurance,Subscriber,Inactive,2022-12-05,2025-07-13
Robert Davis,Savings Account,Savings Account,Holder,Inactive,2022-12-17,2025-04-19
Robert Davis,Current Account,Current Account,Holder,Active,2024-02-20,2025-04-19
Tom Davis,Mortgage,Mortgage,Borrower,Inactive,2021-12-23,2025-02-05
Tom Davis,Online Banking,Online Banking,User,Active,2022-03-30,2024-09-26
Alex Clark,Investment Portfolio,Investment Portfolio,Investor,Active,2020-05-08,2025-02-23
Alex Clark,Personal Loan,Personal Loan,Borrower,Inactive,2023-04-18,2025-06-02
Alex Clark,Credit Card,Credit Card,Cardholder,Inactive,2023-10-09,2024-09-28
Anna Clark,Credit Card,Credit Card,Cardholder,Active,2024-12-21,2025-05-19
Anna Clark,Investment Portfolio,Investment Portfolio,Investor,Inactive,2022-10-14,2025-01-09
Anna Clark,Mobile Banking,Mobile Banking,User,Active,2025-05-16,2024-11-14
Chris Clark,Life Insurance,Life Insurance,Subscriber,Inactive,2022-02-11,2025-04-17
Chris Clark,Online Banking,Online Banking,User,Inactive,2022-01-09,2025-03-06
Emily Clark,Online Banking,Online Banking,User,Inactive,2023-01-10,2024-12-15
Emily Clark,Personal Loan,Personal Loan,Borrower,Active,2025-05-27,2025-03-06
Jane Clark,Current Account,Current Account,Holder,Active,2020-11-30,2025-05-17
Jane Clark,Life Insurance,Life Insurance,Subscriber,Inactive,2022-09-27,2025-07-16
Jane Clark,Online Banking,Online Banking,User,Active,2022-08-15,2025-04-27
John Clark,Life Insurance,Life Insurance,Subscriber,Inactive,2022-02-16,2025-05-13
John Clark,Investment Portfolio,Investment Portfolio,Investor,Active,2024-02-11,2025-05-17
John Clark,Mobile Banking,Mobile Banking,User,Active,2023-02-20,2025-07-14
Katie Clark,Personal Loan,Personal Loan,Borrower,Active,2020-07-04,2025-05-13
Laura Clark,Personal Loan,Personal Loan,Borrower,Inactive,2022-05-03,2025-06-01
Linda Clark,Credit Card,Credit Card,Cardholder,Inactive,2024-07-27,2025-07-28
Linda Clark,Life Insurance,Life Insurance,Subscriber,Active,2022-02-25,2025-06-15
Linda Clark,Current Account,Current Account,Holder,Active,2022-08-10,2025-03-29
Michael Clark,Mortgage,Mortgage,Borrower,Inactive,2022-01-20,2025-07-22
Michael Clark,Life Insurance,Life Insurance,Subscriber,Active,2023-03-29,2025-05-02
Michael Clark,Credit Card,Credit Card,Cardholder,Active,2023-08-01,2025-04-08
Robert Clark,Mobile Banking,Mobile Banking,User,Active,2023-11-05,2024-10-21
Tom Clark,Mobile Banking,Mobile Banking,User,Inactive,2021-05-02,2024-11-28
Tom Clark,Life Insurance,Life Insurance,Subscriber,Active,2024-04-24,2024-10-08
Tom Clark,Travel Insurance,Travel Insurance,Subscriber,Active,2023-03-03,2025-03-09
Alex Brown,Current Account,Current Account,Holder,Active,2021-05-09,2025-09-03
Alex Brown,Personal Loan,Personal Loan,Borrower,Inactive,2022-10-23,2025-05-18
Alex Brown,Savings Account,Savings Account,Holder,Active,2022-07-09,2024-12-05
Anna Brown,Investment Portfolio,Investment Portfolio,Investor,Active,2020-05-13,2024-10-27
Anna Brown,Credit Card,Credit Card,Cardholder,Active,2021-01-01,2025-04-02
Anna Brown,Personal Loan,Personal Loan,Borrower,Inactive,2021-05-16,2025-03-23
Chris Brown,Mobile Banking,Mobile Banking,User,Active,2023-08-29,2024-11-18
Chris Brown,Mortgage,Mortgage,Borrower,Inactive,2020-05-03,2025-01-01
Emily Brown,Mortgage,Mortgage,Borrower,Active,2025-01-23,2025-05-19
Emily Brown,Investment Portfolio,Investment Portfolio,Investor,Active,2022-04-10,2025-08-20
Emily Brown,Credit Card,Credit Card,Cardholder,Inactive,2024-03-08,2025-04-01
Jane Brown,Mobile Banking,Mobile Banking,User,Active,2022-02-08,2025-05-06
Jane Brown,Credit Card,Credit Card,Cardholder,Active,2025-03-28,2025-03-05
John Brown,Credit Card,Credit Card,Cardholder,Inactive,2020-08-19,2024-10-30
John Brown,Life Insurance,Life Insurance,Subscriber,Inactive,2025-06-06,2024-12-03
John Brown,Savings Account,Savings Account,Holder,Inactive,2024-07-13,2025-09-14
Katie Brown,Mobile Banking,Mobile Banking,User,Active,2023-03-19,2024-12-08
Katie Brown,Savings Account,Savings Account,Holder,Inactive,2022-01-17,2025-02-14
Katie Brown,Investment Portfolio,Investment Portfolio,Investor,Active,2021-11-02,2025-09-09
Laura Brown,Credit Card,Credit Card,Cardholder,Active,2021-12-05,2024-10-21
Linda Brown,Personal Loan,Personal Loan,Borrower,Inactive,2023-02-01,2025-05-18
Michael Brown,Current Account,Current Account,Holder,Active,2024-11-12,2025-07-23
Robert Brown,Travel Insurance,Travel Insurance,Subscriber,Inactive,2023-07-06,2024-11-27
Robert Brown,Life Insurance,Life Insurance,Subscriber,Active,2024-04-27,2025-06-29
Robert Brown,Personal Loan,Personal Loan,Borrower,Active,2020-12-12,2025-01-29
Tom Brown,Savings Account,Savings Account,Holder,Inactive,2020-09-08,2024-11-05
Tom Brown,Credit Card,Credit Card,Cardholder,Inactive,2024-11-26,2025-04-09
Tom Brown,Personal Loan,Personal Loan,Borrower,Active,2022-12-06,2025-08-18
