Full Name,Address,Date of Birth,National ID,Phone,Email,Account Number,Account Balance,Transaction History,Loan Amount,Credit Score,PIN (masked),Biometric Data,Employment,Income,Investment Portfolio,Insurance Policy,Beneficiary,Ethnic Origin,Trade Union Membership,Criminal Convictions,Political Opinions,Health,Religious Beliefs,Philosophical Beliefs,Sexual Orientation
Chris Walker,7000 841 Maple Dr,2002-08-05,02.08.05-656.19,+32 37 659 136,chris.walker@telenet.be,BE51227083218218,17542.82,2025-06-26 ATM 3058.93; 2025-03-15 Wire 627.4; 2025-09-13 Online 3321.34; 2025-01-11 ATM 3674.79; 2025-07-14 Wire -214.7,184057.38,436,****73,FaceID,Student,Income: €88224,37605.44,,Christopher Weber,Asian,Yes,,Other,Chronic illness,Christian,Spiritual,Heterosexual
Emily Walker,2000 583 Maple Dr,1986-10-24,86.10.24-726.87,+32 30 123 133,emily.walker@skynet.be,BE89565981504304,75689.72,2025-02-04 Online 4397.79; 2025-05-12 Online 1228.28; 2025-06-06 Wire 3391.86,99602.5,320,****82,Iris,Unemployed,Income: €58149,87878.18,Life,Amanda Rivera,Arab,No,,,Disability,,Atheist,Asexual
Jane Walker,9000 458 Pine Rd,1993-09-24,93.09.24-734.63,+32 54 219 401,jane.walker@gmail.com,BE15600832199145,9011.82,2025-04-15 ATM 3374.0; 2025-02-08 Online 4942.25; 2025-09-10 POS 4805.09,177287.22,763,****92,Voice,Retired,Income: €55743,208239.91,Life,Ricky Walton,Arab,Yes,Minor,,Other,Christian,Atheist,Heterosexual
John Walker,4000 345 Elm St,2001-12-21,01.12.21-363.17,+32 94 177 135,john.walker@proximus.be,BE21487131951040,92905.31,2025-02-25 ATM 3730.01; 2025-06-17 ATM 2781.42; 2025-02-26 POS 3380.46; 2025-09-06 ATM 1549.59; 2025-03-30 ATM 1620.45,9943.88,619,****81,Iris,Retired,Income: €23419,156793.2,Health,Robert Golden,Mixed,No,Minor,Green,Mental health,Hindu,,Bisexual
Katie Walker,6000 166 Main St,1999-11-06,99.11.06-354.78,+32 69 272 370,katie.walker@hotmail.com,BE28855963611042,20337.96,2025-02-01 POS 841.98; 2025-02-26 POS -304.82; 2025-06-21 Wire 3259.02; 2025-03-08 ATM 4205.58,110815.86,442,****64,Voice,Retired,Income: €47793,320784.1,Health,Lindsay Hayes,Asian,Yes,Major,Liberal,Other,Other,Spiritual,Bisexual
Laura Walker,6000 705 Oak Ave,1996-05-28,96.05.28-537.79,+32 68 536 512,laura.walker@proximus.be,BE75412829419499,14470.66,2025-01-28 ATM 3048.97; 2025-05-12 ATM 2295.07; 2025-06-21 POS 3863.05; 2025-05-16 ATM 2411.88; 2025-09-12 ATM 3375.27; 2025-02-04 Wire 3785.18; 2025-08-26 POS -387.25; 2025-05-18 Online 2010.75,123129.29,521,****57,Fingerprint,Student,Income: €33943,236850.1,Home,Daniel Bradley,Black,No,Minor,Green,Other,Buddhist,,Asexual
Linda Walker,2000 199 Elm St,1979-06-22,79.06.22-704.84,+32 77 716 932,linda.walker@skynet.be,BE42504987579044,82862.96,2025-08-31 Online -163.91; 2025-04-10 ATM 2597.86; 2025-05-14 POS 4798.06,111703.56,592,****16,Fingerprint,Retired,Income: €23890,148973.04,Home,Dawn Cooper,White,No,Minor,Socialist,Chronic illness,,Spiritual,Other
Michael Walker,7000 584 Maple Dr,1993-09-27,93.09.27-945.17,+32 76 119 172,michael.walker@telenet.be,BE18410160979627,50115.88,2025-08-02 ATM 4164.86; 2025-03-31 ATM -15.0; 2025-08-24 Online 4368.92; 2025-04-19 POS -33.07; 2025-06-22 Wire 3353.56; 2025-07-08 Online 3400.56; 2025-07-30 ATM 2492.87,180043.27,774,****85,Fingerprint,Retired,Income: €51680,499598.6,Car,Daryl Vasquez,Other,No,Major,Other,Mental health,Other,Agnostic,Asexual
Robert Walker,2000 644 Pine Rd,1988-06-25,88.06.25-750.38,+32 44 135 232,robert.walker@proximus.be,BE07087259839179,93462.99,2025-03-22 ATM 1198.25; 2025-07-29 ATM 3915.36; 2025-01-30 ATM 4510.15; 2025-03-15 Wire 3878.79; 2025-01-02 Online -4.65; 2025-01-21 Online 271.18,75966.03,414,****80,Iris,Employed,Income: €60487,144926.61,Home,Randall Osborne,White,No,,Green,Good,Muslim,Spiritual,Heterosexual
Tom Walker,2000 137 Maple Dr,1987-05-16,87.05.16-494.56,+32 27 722 305,tom.walker@hotmail.com,BE39216085418064,71186.96,2025-06-06 POS 1274.28; 2025-07-25 ATM -47.19; 2025-03-23 Wire 3795.65; 2025-04-05 Online 265.38; 2025-04-24 POS 934.46; 2025-05-02 Online 2605.43,175478.19,652,****57,Iris,Employed,Income: €57044,438320.34,Life,Charles Reed,Asian,Yes,Minor,Liberal,Mental health,Hindu,,Bisexual
Alex Taylor,8000 497 Pine Rd,1998-03-17,98.03.17-425.69,+32 26 852 988,alex.taylor@proximus.be,BE24984062051141,32046.35,2025-08-09 Wire 3846.77; 2025-07-05 ATM 3277.84; 2025-03-01 Online 3117.0; 2025-07-31 Online 1466.67,168469.27,643,****54,Fingerprint,Unemployed,Income: €93062,153689.93,Car,Erica Yang,Black,Yes,Minor,Conservative,Chronic illness,Jewish,Other,Heterosexual
Anna Taylor,2000 225 Maple Dr,1985-12-17,85.12.17-841.84,+32 48 579 558,anna.taylor@gmail.com,BE72401773322766,39372.96,2025-03-01 POS 2281.54; 2025-04-28 Wire -6.55; 2025-01-28 Wire 1734.23; 2025-04-12 ATM 340.69; 2025-05-06 POS 2789.29; 2025-07-18 POS 1117.98; 2025-01-02 POS 3245.32; 2025-04-18 Online -434.5,163154.95,391,****68,Iris,Retired,Income: €67746,115736.07,Health,Amy Edwards,Hispanic,No,Minor,Conservative,Good,Jewish,,Bisexual
Chris Taylor,8000 580 Maple Dr,1991-07-25,91.07.25-930.33,+32 66 489 317,chris.taylor@skynet.be,BE28621966601991,1760.97,2025-07-30 Wire 2481.44; 2025-06-17 ATM -345.12; 2025-07-11 Online 4352.6; 2025-01-08 ATM 4196.55; 2025-07-14 POS 1147.8; 2025-02-20 ATM 4489.79; 2025-03-26 Online -178.69; 2025-01-24 ATM 2944.23,78892.88,714,****80,Iris,Student,Income: €54592,57080.73,Health,Christopher Carpenter,Black,No,Major,Socialist,Chronic illness,Jewish,,Asexual
Emily Taylor,6000 675 Elm St,1991-09-08,91.09.08-300.58,+32 89 439 838,emily.taylor@telenet.be,BE57144118141591,36421.3,2025-04-27 POS -26.45; 2025-05-23 Wire 740.55; 2025-01-09 Wire 2736.66; 2025-03-10 ATM 1052.91; 2025-05-23 Online 2372.0; 2025-01-14 POS 1675.96; 2025-09-05 Wire 3592.88,175172.91,522,****12,Voice,Student,Income: €47948,23111.73,Car,Nicole Blackwell,Black,No,Minor,,Disability,,Atheist,Asexual
Jane Taylor,3000 683 Oak Ave,1982-10-16,82.10.16-999.74,+32 92 693 270,jane.taylor@hotmail.com,BE89232826815538,61674.13,2025-02-07 POS 131.21; 2025-03-20 POS 2364.68; 2025-06-08 Wire 2243.65; 2025-01-25 POS 974.69; 2025-05-17 Online 1090.87,107573.94,765,****19,FaceID,Student,Income: €59798,70837.73,Life,Christopher Young,Black,No,Minor,,Disability,,Other,Bisexual
John Taylor,8000 605 Pine Rd,1976-04-04,76.04.04-731.37,+32 37 740 949,john.taylor@gmail.com,BE51287232996468,67313.43,2025-05-29 Online 2834.75; 2025-02-06 Wire 1455.41; 2025-08-26 Wire 3378.97; 2025-01-21 ATM 1302.0; 2025-06-03 Online 4066.84,130724.91,623,****19,Fingerprint,Student,Income: €22002,250977.29,Health,Patricia Phillips,Mixed,No,,Socialist,Mental health,Jewish,Atheist,Other
Katie Taylor,1000 837 Pine Rd,1985-04-07,85.04.07-251.33,+32 96 988 478,katie.taylor@telenet.be,BE70566658238943,79560.78,2025-06-10 POS 4641.62; 2025-04-15 ATM 739.19; 2025-03-25 Online 354.5; 2025-01-28 Online 2270.17; 2025-03-18 Wire 4568.06,27895.74,314,****30,Fingerprint,Unemployed,Income: €52986,445898.35,Home,Jared Mayer,White,Yes,Major,,Mental health,Christian,Humanist,Asexual
Laura Taylor,2000 933 Elm St,2003-01-27,03.01.27-102.72,+32 34 829 940,laura.taylor@skynet.be,BE10095803344135,41746.54,2025-08-25 Wire 4230.33; 2025-07-03 POS 3479.54; 2025-02-23 ATM 3406.75,56976.73,660,****80,FaceID,Unemployed,Income: €48442,4599.95,,Clinton Cox,White,No,Major,Other,Chronic illness,Christian,Spiritual,Bisexual
Linda Taylor,6000 734 Pine Rd,1990-08-22,90.08.22-421.92,+32 80 408 910,linda.taylor@skynet.be,BE89642759760933,57089.11,2025-03-08 Online 2148.4; 2025-06-18 POS 2720.48; 2025-02-19 POS 2015.11; 2025-04-17 POS 303.19; 2025-01-16 Wire 1252.34; 2025-04-17 ATM 2927.85; 2025-08-29 Wire -175.58,91760.36,843,****71,Iris,Unemployed,Income: €81006,471201.76,Home,Michael Griffith,Black,Yes,Minor,Green,Other,,Agnostic,Asexual
Michael Taylor,3000 399 Oak Ave,2003-11-13,03.11.13-883.68,+32 99 223 671,michael.taylor@telenet.be,BE15155354305191,19343.83,2025-06-06 Online 3875.19; 2025-08-21 ATM -396.87; 2025-05-20 Wire 231.38; 2025-09-13 Online 3902.85; 2025-07-04 Online -79.88; 2025-07-17 POS 1303.22; 2025-06-16 Online -467.52,175114.08,539,****45,Voice,Retired,Income: €32611,67047.94,Life,Kendra Hamilton,Other,No,Major,Socialist,Good,Muslim,Atheist,Homosexual
Robert Taylor,9000 957 Oak Ave,1980-01-25,80.01.25-749.59,+32 93 254 876,robert.taylor@proximus.be,BE88918952529185,87445.5,2025-06-01 Wire 3900.34; 2025-07-18 POS 630.14; 2025-06-18 ATM 306.64; 2025-04-14 Wire -83.06; 2025-03-15 POS 3979.24,194118.46,663,****30,Voice,Unemployed,Income: €78648,119744.82,,Cassandra Turner,Arab,No,,Liberal,Chronic illness,Christian,Atheist,Bisexual
Tom Taylor,1000 287 Elm St,1993-04-12,93.04.12-842.89,+32 74 740 406,tom.taylor@proximus.be,BE88554292524986,60109.72,2025-04-21 POS 4372.53; 2025-09-16 Online 3895.86; 2025-03-13 POS 383.46; 2025-03-27 Online -330.71; 2025-06-27 Wire -241.64; 2025-01-25 Online 2138.24; 2025-01-29 Wire 3525.28; 2025-04-24 ATM 2130.36,133073.26,787,****36,Iris,Unemployed,Income: €80065,244290.87,Health,Katherine Grimes,Black,Yes,Minor,Socialist,Mental health,Hindu,Other,Heterosexual
Alex Smith,6000 88 Oak Ave,1995-07-15,95.07.15-570.95,+32 84 666 267,alex.smith@hotmail.com,BE66122159070737,65767.82,2025-02-16 Online 999.88; 2025-05-09 ATM 2574.13; 2025-03-04 Online 2013.37; 2025-03-04 POS 4411.22,97367.69,413,****95,Voice,Student,Income: €59063,303168.46,Health,Jacqueline Arnold,Asian,Yes,Major,Conservative,Mental health,,Agnostic,Other
Anna Smith,2000 226 Main St,1969-10-01,69.10.01-584.74,+32 23 264 457,anna.smith@telenet.be,BE35543839058002,6146.82,2025-06-08 POS 1070.7; 2025-05-13 POS 3027.91; 2025-02-20 ATM 1787.22; 2025-09-13 POS 902.82; 2025-08-24 POS 547.54,129884.98,807,****42,Iris,Retired,Income: €45453,433277.92,,Matthew Smith,Black,Yes,Minor,Other,Chronic illness,Hindu,Agnostic,Bisexual
Chris Smith,2000 293 Elm St,1993-12-21,93.12.21-307.58,+32 95 583 757,chris.smith@hotmail.com,BE98451688892522,28326.22,2025-05-27 POS 1523.12; 2025-03-14 POS 3768.85; 2025-07-23 POS -365.2; 2025-03-29 Wire 1274.47; 2025-03-10 POS 1995.06; 2025-04-19 POS 3212.29,88662.28,542,****42,Voice,Employed,Income: €33231,82924.29,Car,Joshua Ellis,White,No,,Socialist,Chronic illness,Jewish,,Bisexual
Emily Smith,7000 709 Pine Rd,1991-11-24,91.11.24-364.30,+32 42 265 898,emily.smith@telenet.be,BE58822879743193,46383.62,2025-01-23 ATM 3804.68; 2025-05-10 Online 2186.94; 2025-06-27 POS 3569.08; 2025-04-10 ATM 2630.22; 2025-03-23 Wire 981.49; 2025-09-17 Online 4388.22; 2025-07-17 POS 1364.1; 2025-08-13 ATM 2530.42,162012.8,372,****46,Voice,Retired,Income: €56848,342922.14,Health,Tiffany Sloan,Hispanic,Yes,,Liberal,Mental health,,,Bisexual
Jane Smith,1000 336 Main St,1990-12-01,90.12.01-800.52,+32 85 853 134,jane.smith@proximus.be,BE87148067400212,1884.91,2025-03-24 Online 3209.27; 2025-03-10 Online 2326.91; 2025-09-02 ATM 1126.79; 2025-04-09 ATM 616.14; 2025-04-14 Online -427.98; 2025-08-30 POS -338.65; 2025-07-29 ATM 2268.32; 2025-06-07 POS -162.22,158749.47,300,****58,Iris,Employed,Income: €84441,222334.0,Health,Craig Romero,Hispanic,Yes,,Liberal,Disability,Jewish,Other,Heterosexual
John Smith,5000 332 Maple Dr,1999-12-09,99.12.09-444.10,+32 34 970 780,john.smith@hotmail.com,BE08341867334414,3407.14,2025-03-22 ATM -472.83; 2025-03-16 ATM 4464.67; 2025-04-11 ATM -356.85; 2025-02-10 ATM 3841.35; 2025-07-27 Wire 1496.61; 2025-03-27 ATM 382.16,145206.96,437,****18,Voice,Retired,Income: €89401,433872.65,Home,Ryan Ponce,White,Yes,,Conservative,Chronic illness,Christian,Spiritual,Heterosexual
Katie Smith,5000 27 Pine Rd,1996-02-07,96.02.07-136.44,+32 63 610 856,katie.smith@telenet.be,BE69127145134325,56983.48,2025-06-09 Online 2537.03; 2025-02-13 ATM 3464.04; 2025-02-04 ATM 2178.9; 2025-07-28 Online 2363.09; 2025-05-14 Wire 3785.24; 2025-04-17 Wire 2719.79; 2025-08-13 Online 2345.89; 2025-09-09 ATM 2626.48,77020.53,835,****46,FaceID,Unemployed,Income: €59171,59508.2,Health,Stephanie Potter DDS,Black,No,Major,Green,Other,Muslim,Other,Bisexual
Laura Smith,3000 184 Oak Ave,1995-10-08,95.10.08-269.58,+32 57 658 871,laura.smith@gmail.com,BE51748854094489,61541.49,2025-09-16 Online 4704.64; 2025-01-08 ATM 2380.94; 2025-05-04 Wire 3996.65; 2025-03-31 ATM 219.57; 2025-01-25 Online 3139.94; 2025-08-21 Wire 1079.0; 2025-04-22 ATM 4229.43,186608.28,822,****64,Iris,Unemployed,Income: €67436,26115.95,Car,Brittany Pratt,Other,No,Major,,Disability,Jewish,,Bisexual
Linda Smith,8000 927 Maple Dr,1988-08-14,88.08.14-253.90,+32 74 245 317,linda.smith@proximus.be,BE83804078178335,64093.34,2025-06-09 POS 97.89; 2025-04-23 Wire 3353.55; 2025-04-21 Wire 4192.46; 2025-04-18 Wire 902.13; 2025-03-24 Online 285.55,104408.96,604,****21,Voice,Employed,Income: €59776,45033.98,Car,Brittany Rojas,Hispanic,Yes,Major,Green,Other,Jewish,Spiritual,Heterosexual
Michael Smith,4000 391 Pine Rd,2003-06-01,03.06.01-983.30,+32 28 196 975,michael.smith@gmail.com,BE06910786094630,51508.13,2025-05-27 POS 1642.02; 2025-01-03 Online 3969.33; 2025-01-07 Online 1701.76; 2025-09-15 POS 2291.58; 2025-04-27 ATM 3433.61,26051.97,816,****85,Fingerprint,Employed,Income: €66903,29566.86,Home,Kristin Brandt,Black,Yes,,Liberal,Other,,,Other
Robert Smith,5000 172 Oak Ave,1996-07-09,96.07.09-168.31,+32 29 400 711,robert.smith@skynet.be,BE65788690548262,42086.41,2025-03-25 POS 4293.77; 2025-03-01 Wire 2271.81; 2025-07-03 ATM 4609.71,11781.31,718,****72,Fingerprint,Unemployed,Income: €34804,369192.06,Home,Colleen Nguyen,Asian,No,,,Good,Jewish,Agnostic,Bisexual
Tom Smith,7000 398 Main St,1999-10-02,99.10.02-498.90,+32 89 471 227,tom.smith@telenet.be,BE72229173383797,92066.12,2025-03-17 Online 2064.34; 2025-03-07 Wire 4016.56; 2025-09-05 POS 1196.18; 2025-06-21 Online 540.58,184809.46,320,****69,Fingerprint,Student,Income: €75890,255733.67,,Emily Evans,Hispanic,Yes,,Other,Mental health,Muslim,,Bisexual
Alex Miller,8000 40 Oak Ave,2001-04-25,01.04.25-377.50,+32 72 188 709,alex.miller@gmail.com,BE36204815069756,5907.68,2025-04-26 Online 4833.57; 2025-05-29 Online 3724.46; 2025-05-21 POS 2244.21; 2025-03-07 Wire 1887.84; 2025-02-02 POS 2964.69; 2025-02-22 Wire 380.95,103988.96,336,****37,Fingerprint,Student,Income: €86538,39586.62,Health,Christopher Peters,White,No,Minor,Other,Mental health,Buddhist,Humanist,Heterosexual
Anna Miller,4000 890 Pine Rd,1999-05-12,99.05.12-135.39,+32 56 420 117,anna.miller@gmail.com,BE59895746198535,64195.8,2025-05-11 POS 4296.91; 2025-02-28 POS 3408.07; 2025-07-29 ATM 4728.24; 2025-05-24 Online 2723.08; 2025-04-18 ATM 3973.37; 2025-09-01 POS 4388.23; 2025-06-20 Wire 1344.3; 2025-09-18 Wire 2209.45,98040.59,725,****44,Fingerprint,Employed,Income: €77252,80046.89,Car,Carl Jensen,Other,Yes,Major,,Mental health,Other,Other,Bisexual
Chris Miller,2000 364 Maple Dr,1974-02-19,74.02.19-114.80,+32 44 990 693,chris.miller@telenet.be,BE31132659883464,5631.44,2025-03-07 POS 218.63; 2025-03-17 Online 738.75; 2025-02-11 Online 2420.28; 2025-03-12 Wire 506.23; 2025-04-25 Online 634.28; 2025-08-21 POS 4462.58; 2025-03-21 ATM 1481.87,64489.97,734,****49,Voice,Retired,Income: €64048,197804.13,Home,Alexander Brooks,Other,No,Minor,Socialist,Mental health,Other,Other,Heterosexual
Emily Miller,5000 356 Oak Ave,1993-12-05,93.12.05-903.48,+32 17 907 384,emily.miller@telenet.be,BE84311835530945,52087.11,2025-01-31 POS 1987.05; 2025-03-13 Wire 3458.25; 2025-07-06 Online 1858.24; 2025-05-09 Online 2214.51; 2025-02-21 Online 2424.97,48262.05,761,****63,FaceID,Student,Income: €90157,286315.71,,Amanda Goodman,Asian,Yes,,Other,Disability,Buddhist,Spiritual,Homosexual
Jane Miller,9000 811 Maple Dr,1994-01-25,94.01.25-545.14,+32 67 698 481,jane.miller@proximus.be,BE09209497380945,65890.38,2025-08-21 Online 4369.06; 2025-08-05 POS 1029.62; 2025-06-09 Online 3060.87; 2025-07-18 Online 2424.89; 2025-05-22 Wire 4159.23,188234.66,761,****29,Voice,Retired,Income: €93522,145455.98,Life,Thomas Vega,Arab,Yes,,Other,Disability,Other,,Homosexual
John Miller,8000 433 Elm St,1974-07-14,74.07.14-544.16,+32 43 910 195,john.miller@gmail.com,BE83178890894649,77254.05,2025-07-04 POS 840.47; 2025-05-19 Online 4419.89; 2025-01-20 POS 1220.95; 2025-09-12 Wire -392.23; 2025-02-24 ATM 608.07; 2025-07-23 POS -403.15; 2025-02-08 POS 3880.75; 2025-03-26 Wire 3152.52,50338.35,534,****41,FaceID,Student,Income: €62249,436834.52,Life,Haley Johnson,White,Yes,,Green,Disability,Muslim,Other,Bisexual
Katie Miller,8000 715 Elm St,2002-06-12,02.06.12-625.34,+32 93 265 539,katie.miller@skynet.be,BE53106538435613,63261.7,2025-08-29 ATM 1806.78; 2025-02-13 ATM 4552.74; 2025-07-09 ATM 632.44; 2025-03-18 Wire 303.4; 2025-03-03 Online 13.62; 2025-05-17 ATM 2470.11; 2025-05-18 Online 1019.68; 2025-01-15 ATM 4088.54,128329.75,473,****19,Fingerprint,Retired,Income: €65458,1157.04,Health,George Pineda,White,No,Major,Other,Mental health,Jewish,Other,Asexual
Laura Miller,4000 745 Pine Rd,2001-10-04,01.10.04-937.85,+32 55 269 285,laura.miller@telenet.be,BE14088291132816,99830.96,2025-09-01 Online 4473.98; 2025-06-08 ATM 1764.43; 2025-09-20 Wire 1357.61; 2025-07-06 POS 3636.66; 2025-07-22 POS 2867.58,56107.68,536,****51,Fingerprint,Student,Income: €50614,361974.32,Life,Chelsea Santiago,Arab,No,Minor,Conservative,Disability,,Atheist,Other
Linda Miller,4000 111 Oak Ave,1994-10-12,94.10.12-316.75,+32 86 124 947,linda.miller@proximus.be,BE21750882124641,79503.04,2025-08-31 ATM 3611.27; 2025-07-28 POS 4810.0; 2025-01-18 Wire 925.96; 2025-01-26 ATM -353.18; 2025-03-24 Wire 2372.85,107410.51,438,****88,FaceID,Unemployed,Income: €89260,426266.28,Health,Lucas Scott,White,No,,Other,Mental health,,Atheist,Homosexual
