First Name,Last Name,ID Number,Postal Address,Street Name,Phone Number,Date of Birth,Age,Education,Family Data,Marital Status,Gender,Citizenship,Email,Employment Data,Household Data,IP Address,Location,Hobbies,Interest,Carrier
Chris,Taylor,91.07.25-930.33,8000,580 Maple Dr,+32 66 489 317,1991-07-25,34,3,2 members,1,Female,Belgium,chris.taylor@skynet.be,Student,Income: €54592,228.232.12.245,Bruges,Cooking,Art,Education
Emily,Taylor,91.09.08-300.58,6000,675 Elm St,+32 89 439 838,1991-09-08,34,3,5 members,2,Female,Belgium,emily.taylor@telenet.be,Student,Income: €47948,149.83.226.195,Charleroi,Reading,Finance,Education
Jane,Taylor,82.10.16-999.74,3000,683 Oak Ave,+32 92 693 270,1982-10-16,43,3,5 members,3,Female,Belgium,jane.taylor@hotmail.com,Student,Income: €59798,34.152.6.70,Leuven,Traveling,Technology,Education
John,Taylor,76.04.04-731.37,8000,605 Pine Rd,+32 37 740 949,1976-04-04,49,2,1 members,1,Female,Belgium,john.taylor@gmail.com,Student,Income: €22002,75.41.183.49,Bruges,Gaming,Finance,Education
Katie,Taylor,85.04.07-251.33,1000,837 Pine Rd,+32 96 988 478,1985-04-07,40,1,5 members,1,Female,Belgium,katie.taylor@telenet.be,Unemployed,Income: €52986,141.253.246.96,Brussels,Gaming,Sports,Education
Laura,Taylor,03.01.27-102.72,2000,933 Elm St,+32 34 829 940,2003-01-27,22,2,1 members,2,Female,Belgium,laura.taylor@skynet.be,Unemployed,Income: €48442,187.149.180.0,Antwerp,Cooking,Sports,IT
Linda,Taylor,90.08.22-421.92,6000,734 Pine Rd,+32 80 408 910,1990-08-22,35,2,5 members,1,Male,Belgium,linda.taylor@skynet.be,Unemployed,Income: €81006,157.151.153.186,Charleroi,Reading,Finance,Healthcare
Michael,Taylor,03.11.13-883.68,3000,399 Oak Ave,+32 99 223 671,2003-11-13,22,5,3 members,2,Male,Belgium,michael.taylor@telenet.be,Retired,Income: €32611,3.138.68.76,Leuven,Traveling,Finance,Healthcare
Robert,Taylor,80.01.25-749.59,9000,957 Oak Ave,+32 93 254 876,1980-01-25,45,1,3 members,1,Female,Belgium,robert.taylor@proximus.be,Unemployed,Income: €78648,221.21.244.169,Ghent,Cooking,Finance,IT
Tom,Taylor,93.04.12-842.89,1000,287 Elm St,+32 74 740 406,1993-04-12,32,1,2 members,2,Male,Belgium,tom.taylor@proximus.be,Unemployed,Income: €80065,127.234.53.23,Brussels,Cooking,Finance,IT
Alex,Smith,95.07.15-570.95,6000,88 Oak Ave,+32 84 666 267,1995-07-15,30,1,2 members,2,Female,Belgium,alex.smith@hotmail.com,Student,Income: €59063,250.111.77.12,Charleroi,Traveling,Technology,Healthcare
Anna,Smith,69.10.01-584.74,2000,226 Main St,+32 23 264 457,1969-10-01,56,2,5 members,1,Male,Belgium,anna.smith@telenet.be,Retired,Income: €45453,220.110.215.5,Antwerp,Cooking,Art,Healthcare
Chris,Smith,93.12.21-307.58,2000,293 Elm St,+32 95 583 757,1993-12-21,32,1,2 members,2,Male,Belgium,chris.smith@hotmail.com,Employed,Income: €33231,235.113.182.3,Antwerp,Cooking,Finance,Healthcare
Emily,Smith,91.11.24-364.30,7000,709 Pine Rd,+32 42 265 898,1991-11-24,34,2,5 members,2,Female,Belgium,emily.smith@telenet.be,Retired,Income: €56848,52.105.177.12,Mons,Traveling,Finance,IT
Jane,Smith,90.12.01-800.52,1000,336 Main St,+32 85 853 134,1990-12-01,35,2,1 members,2,Male,Belgium,jane.smith@proximus.be,Employed,Income: €84441,137.122.237.74,Brussels,Gaming,Sports,Healthcare
John,Smith,99.12.09-444.10,5000,332 Maple Dr,+32 34 970 780,1999-12-09,26,2,1 members,2,Female,Belgium,john.smith@hotmail.com,Retired,Income: €89401,21.207.141.172,Namur,Reading,Technology,IT
Katie,Smith,96.02.07-136.44,5000,27 Pine Rd,+32 63 610 856,1996-02-07,29,1,4 members,2,Male,Belgium,katie.smith@telenet.be,Unemployed,Income: €59171,202.70.68.154,Namur,Reading,Technology,IT
Laura,Smith,95.10.08-269.58,3000,184 Oak Ave,+32 57 658 871,1995-10-08,30,1,1 members,2,Female,Belgium,laura.smith@gmail.com,Unemployed,Income: €67436,18.106.29.247,Leuven,Traveling,Sports,IT
Linda,Smith,88.08.14-253.90,8000,927 Maple Dr,+32 74 245 317,1988-08-14,37,2,2 members,1,Female,Belgium,linda.smith@proximus.be,Employed,Income: €59776,76.115.235.120,Bruges,Gaming,Art,Healthcare
Michael,Smith,03.06.01-983.30,4000,391 Pine Rd,+32 28 196 975,2003-06-01,22,2,1 members,2,Female,Belgium,michael.smith@gmail.com,Employed,Income: €66903,127.81.31.124,Liège,Cooking,Art,IT
Robert,Smith,96.07.09-168.31,5000,172 Oak Ave,+32 29 400 711,1996-07-09,29,2,2 members,2,Male,Belgium,robert.smith@skynet.be,Unemployed,Income: €34804,124.75.86.158,Namur,Cooking,Finance,Healthcare
Tom,Smith,99.10.02-498.90,7000,398 Main St,+32 89 471 227,1999-10-02,26,1,5 members,2,Male,Belgium,tom.smith@telenet.be,Student,Income: €75890,199.184.241.164,Mons,Cooking,Art,Education
Alex,Miller,01.04.25-377.50,8000,40 Oak Ave,+32 72 188 709,2001-04-25,24,2,2 members,1,Female,Belgium,alex.miller@gmail.com,Student,Income: €86538,62.13.230.160,Bruges,Cooking,Technology,Healthcare
Anna,Miller,99.05.12-135.39,4000,890 Pine Rd,+32 56 420 117,1999-05-12,26,2,5 members,2,Male,Belgium,anna.miller@gmail.com,Employed,Income: €77252,180.205.219.43,Liège,Gaming,Art,IT
Chris,Miller,74.02.19-114.80,2000,364 Maple Dr,+32 44 990 693,1974-02-19,51,3,3 members,1,Female,Belgium,chris.miller@telenet.be,Retired,Income: €64048,239.224.203.5,Antwerp,Cooking,Sports,Education
Emily,Miller,93.12.05-903.48,5000,356 Oak Ave,+32 17 907 384,1993-12-05,32,2,1 members,2,Female,Belgium,emily.miller@telenet.be,Student,Income: €90157,234.60.71.44,Namur,Gaming,Sports,IT
Jane,Miller,94.01.25-545.14,9000,811 Maple Dr,+32 67 698 481,1994-01-25,31,1,1 members,2,Male,Belgium,jane.miller@proximus.be,Retired,Income: €93522,252.233.27.244,Ghent,Traveling,Technology,Education
John,Miller,74.07.14-544.16,8000,433 Elm St,+32 43 910 195,1974-07-14,51,1,2 members,2,Female,Belgium,john.miller@gmail.com,Student,Income: €62249,47.100.159.74,Bruges,Gaming,Sports,Banking
Katie,Miller,02.06.12-625.34,8000,715 Elm St,+32 93 265 539,2002-06-12,23,1,3 members,2,Female,Belgium,katie.miller@skynet.be,Retired,Income: €65458,213.207.118.252,Bruges,Cooking,Sports,IT
Laura,Miller,01.10.04-937.85,4000,745 Pine Rd,+32 55 269 285,2001-10-04,24,1,1 members,2,Male,Belgium,laura.miller@telenet.be,Student,Income: €50614,65.37.155.221,Liège,Gaming,Technology,IT
Linda,Miller,94.10.12-316.75,4000,111 Oak Ave,+32 86 124 947,1994-10-12,31,1,5 members,2,Male,Belgium,linda.miller@proximus.be,Unemployed,Income: €89260,40.62.166.13,Liège,Gaming,Technology,IT
Michael,Miller,98.02.17-660.89,9000,334 Elm St,+32 56 806 254,1998-02-17,27,1,2 members,2,Male,Belgium,michael.miller@telenet.be,Employed,Income: €70666,203.107.167.110,Ghent,Gaming,Sports,Healthcare
Robert,Miller,78.08.22-873.19,8000,819 Oak Ave,+32 97 234 330,1978-08-22,47,3,5 members,1,Male,Belgium,robert.miller@proximus.be,Employed,Income: €58060,241.217.60.148,Bruges,Reading,Sports,IT
Tom,Miller,96.08.18-553.97,9000,151 Main St,+32 63 928 501,1996-08-18,29,1,2 members,2,Male,Belgium,tom.miller@skynet.be,Retired,Income: €20562,166.184.101.114,Ghent,Traveling,Finance,Banking
Alex,Lewis,01.10.03-706.29,8000,710 Main St,+32 76 103 263,2001-10-03,24,1,3 members,2,Male,Belgium,alex.lewis@gmail.com,Student,Income: €61349,216.214.209.37,Bruges,Reading,Sports,Education
Anna,Lewis,88.02.27-961.95,9000,67 Pine Rd,+32 31 308 124,1988-02-27,37,2,2 members,1,Female,Belgium,anna.lewis@gmail.com,Student,Income: €28542,238.37.246.238,Ghent,Traveling,Art,Education
Chris,Lewis,92.03.27-118.48,4000,311 Pine Rd,+32 90 657 200,1992-03-27,33,2,5 members,1,Female,Belgium,chris.lewis@telenet.be,Retired,Income: €46209,15.210.151.124,Liège,Traveling,Art,Healthcare
Emily,Lewis,84.04.14-829.34,1000,586 Maple Dr,+32 41 107 756,1984-04-14,41,2,5 members,1,Male,Belgium,emily.lewis@skynet.be,Retired,Income: €58629,205.69.64.181,Brussels,Cooking,Sports,Banking
Jane,Lewis,82.12.01-681.16,9000,653 Oak Ave,+32 43 799 634,1982-12-01,43,1,1 members,1,Male,Belgium,jane.lewis@telenet.be,Student,Income: €79973,117.45.124.198,Ghent,Cooking,Technology,Healthcare
John,Lewis,92.01.05-287.18,5000,840 Elm St,+32 26 363 437,1992-01-05,33,3,4 members,3,Female,Belgium,john.lewis@gmail.com,Unemployed,Income: €30778,54.199.34.180,Namur,Gaming,Technology,Banking
Katie,Lewis,83.04.13-616.34,8000,429 Elm St,+32 24 287 969,1983-04-13,42,3,5 members,2,Male,Belgium,katie.lewis@gmail.com,Unemployed,Income: €95193,58.147.219.32,Bruges,Reading,Technology,IT
Laura,Lewis,76.05.05-545.97,4000,405 Main St,+32 49 795 394,1976-05-05,49,3,3 members,2,Female,Belgium,laura.lewis@gmail.com,Unemployed,Income: €93131,198.166.112.30,Liège,Reading,Finance,IT
Linda,Lewis,74.10.15-896.36,7000,496 Main St,+32 74 324 628,1974-10-15,51,2,4 members,1,Female,Belgium,linda.lewis@hotmail.com,Student,Income: €76627,138.247.166.210,Mons,Traveling,Finance,Banking
Michael,Lewis,87.08.07-923.93,4000,164 Main St,+32 23 239 274,1987-08-07,38,2,3 members,2,Female,Belgium,michael.lewis@skynet.be,Retired,Income: €42357,253.105.61.33,Liège,Reading,Technology,Banking
Robert,Lewis,67.08.17-536.72,9000,100 Elm St,+32 49 919 161,1967-08-17,58,1,4 members,1,Male,Belgium,robert.lewis@skynet.be,Unemployed,Income: €99675,34.144.119.19,Ghent,Traveling,Technology,Education
Tom,Lewis,97.11.14-715.98,1000,752 Elm St,+32 82 623 870,1997-11-14,28,2,4 members,2,Male,Belgium,tom.lewis@telenet.be,Student,Income: €72042,115.33.125.10,Brussels,Reading,Technology,IT
Alex,Jones,85.10.22-243.56,4000,157 Pine Rd,+32 98 330 757,1985-10-22,40,2,3 members,1,Male,Belgium,alex.jones@telenet.be,Unemployed,Income: €94747,28.132.161.7,Liège,Traveling,Art,Education
Anna,Jones,80.11.25-875.93,2000,150 Maple Dr,+32 13 526 331,1980-11-25,45,1,3 members,1,Female,Belgium,anna.jones@telenet.be,Unemployed,Income: €68091,96.67.167.183,Antwerp,Reading,Sports,IT
Chris,Jones,03.08.01-919.20,1000,913 Main St,+32 75 997 442,2003-08-01,22,3,2 members,1,Female,Belgium,chris.jones@hotmail.com,Student,Income: €48036,22.12.80.202,Brussels,Traveling,Technology,IT
Emily,Jones,96.11.03-643.85,8000,547 Pine Rd,+32 15 726 931,1996-11-03,29,1,3 members,2,Male,Belgium,emily.jones@skynet.be,Employed,Income: €21773,130.115.79.196,Bruges,Cooking,Technology,Banking
Jane,Jones,00.01.14-404.88,8000,710 Oak Ave,+32 56 982 664,2000-01-14,25,1,4 members,2,Male,Belgium,jane.jones@gmail.com,Unemployed,Income: €76827,96.230.223.161,Bruges,Cooking,Art,Healthcare
John,Jones,00.12.12-543.16,9000,284 Elm St,+32 54 483 933,2000-12-12,25,3,3 members,2,Male,Belgium,john.jones@gmail.com,Student,Income: €52906,95.205.74.105,Ghent,Gaming,Finance,Healthcare
Katie,Jones,91.05.12-300.43,4000,476 Maple Dr,+32 71 146 299,1991-05-12,34,2,4 members,1,Female,Belgium,katie.jones@proximus.be,Unemployed,Income: €89859,146.107.83.107,Liège,Traveling,Sports,IT
Laura,Jones,95.04.22-186.72,9000,931 Pine Rd,+32 36 422 525,1995-04-22,30,1,4 members,2,Male,Belgium,laura.jones@gmail.com,Employed,Income: €23020,61.227.114.189,Ghent,Gaming,Sports,Education
Linda,Jones,01.07.10-815.75,1000,476 Oak Ave,+32 89 387 117,2001-07-10,24,2,3 members,2,Female,Belgium,linda.jones@telenet.be,Student,Income: €38185,176.40.11.201,Brussels,Reading,Finance,Healthcare
Michael,Jones,86.10.07-753.29,1000,421 Pine Rd,+32 91 502 610,1986-10-07,39,1,4 members,2,Female,Belgium,michael.jones@hotmail.com,Retired,Income: €48740,145.81.166.153,Brussels,Traveling,Sports,Healthcare
Robert,Jones,88.10.16-690.16,2000,715 Maple Dr,+32 85 562 314,1988-10-16,37,3,3 members,2,Male,Belgium,robert.jones@hotmail.com,Employed,Income: €52665,154.60.246.101,Antwerp,Cooking,Art,Education
Tom,Jones,92.08.25-392.29,4000,891 Pine Rd,+32 85 622 130,1992-08-25,33,1,4 members,2,Male,Belgium,tom.jones@proximus.be,Unemployed,Income: €93283,13.160.151.37,Liège,Gaming,Sports,IT
Alex,Johnson,95.12.08-389.87,3000,434 Oak Ave,+32 24 623 539,1995-12-08,30,1,3 members,2,Female,Belgium,alex.johnson@skynet.be,Unemployed,Income: €60488,107.56.17.187,Leuven,Gaming,Sports,Education
Anna,Johnson,94.03.12-224.39,9000,742 Main St,+32 70 107 374,1994-03-12,31,1,1 members,1,Female,Belgium,anna.johnson@skynet.be,Employed,Income: €93612,111.228.73.107,Ghent,Traveling,Sports,Education
Chris,Johnson,97.09.23-375.14,5000,595 Oak Ave,+32 89 107 901,1997-09-23,28,3,3 members,1,Female,Belgium,chris.johnson@skynet.be,Retired,Income: €83157,4.77.11.219,Namur,Reading,Art,Healthcare
Emily,Johnson,89.07.14-668.76,9000,66 Oak Ave,+32 70 337 108,1989-07-14,36,1,2 members,1,Male,Belgium,emily.johnson@hotmail.com,Retired,Income: €69642,85.207.191.177,Ghent,Gaming,Finance,Banking
Jane,Johnson,00.12.13-360.77,5000,358 Pine Rd,+32 68 322 133,2000-12-13,25,1,2 members,2,Female,Belgium,jane.johnson@telenet.be,Employed,Income: €56847,175.57.158.73,Namur,Gaming,Sports,Healthcare
John,Johnson,03.08.04-380.22,1000,345 Main St,+32 18 391 532,2003-08-04,22,3,1 members,2,Female,Belgium,john.johnson@proximus.be,Unemployed,Income: €89449,32.23.153.147,Brussels,Traveling,Art,Education
Katie,Johnson,93.03.18-381.38,8000,751 Oak Ave,+32 28 111 436,1993-03-18,32,1,5 members,2,Male,Belgium,katie.johnson@gmail.com,Retired,Income: €94410,159.54.250.132,Bruges,Gaming,Sports,Healthcare
Laura,Johnson,91.06.21-443.67,9000,503 Main St,+32 34 778 458,1991-06-21,34,2,3 members,1,Male,Belgium,laura.johnson@gmail.com,Unemployed,Income: €98583,136.172.187.253,Ghent,Traveling,Finance,Education
Linda,Johnson,62.08.18-737.96,6000,359 Main St,+32 10 462 772,1962-08-18,63,1,2 members,1,Male,Belgium,linda.johnson@proximus.be,Student,Income: €64915,232.72.78.10,Charleroi,Gaming,Finance,IT
Michael,Johnson,96.07.14-884.79,9000,161 Elm St,+32 83 153 471,1996-07-14,29,3,1 members,2,Female,Belgium,michael.johnson@telenet.be,Unemployed,Income: €92411,26.72.69.10,Ghent,Traveling,Technology,Healthcare
Robert,Johnson,89.09.26-630.49,4000,483 Oak Ave,+32 54 652 498,1989-09-26,36,2,2 members,1,Female,Belgium,robert.johnson@telenet.be,Employed,Income: €37263,125.63.253.170,Liège,Reading,Finance,Education
Tom,Johnson,02.04.14-147.57,5000,572 Main St,+32 74 693 612,2002-04-14,23,3,5 members,2,Male,Belgium,tom.johnson@proximus.be,Employed,Income: €96817,79.234.173.179,Namur,Cooking,Art,Education
Alex,Garcia,01.05.12-566.30,1000,315 Elm St,+32 18 933 718,2001-05-12,24,1,5 members,2,Male,Belgium,alex.garcia@proximus.be,Student,Income: €90248,247.188.245.105,Brussels,Gaming,Sports,IT
Anna,Garcia,92.05.22-625.29,9000,280 Maple Dr,+32 81 567 436,1992-05-22,33,2,1 members,2,Male,Belgium,anna.garcia@hotmail.com,Retired,Income: €63161,31.12.201.126,Ghent,Traveling,Finance,Education
Chris,Garcia,97.12.02-123.64,6000,772 Elm St,+32 72 815 370,1997-12-02,28,3,3 members,1,Female,Belgium,chris.garcia@skynet.be,Retired,Income: €90579,214.32.150.82,Charleroi,Reading,Finance,Banking
Emily,Garcia,95.02.13-781.24,3000,818 Pine Rd,+32 96 342 628,1995-02-13,30,2,2 members,2,Male,Belgium,emily.garcia@gmail.com,Unemployed,Income: €72017,210.132.21.48,Leuven,Traveling,Technology,Banking
Jane,Garcia,73.01.26-709.78,3000,227 Elm St,+32 46 733 254,1973-01-26,52,1,1 members,2,Male,Belgium,jane.garcia@telenet.be,Unemployed,Income: €56999,161.150.10.217,Leuven,Gaming,Finance,Healthcare
John,Garcia,03.06.11-455.69,7000,115 Oak Ave,+32 18 806 429,2003-06-11,22,1,4 members,2,Female,Belgium,john.garcia@proximus.be,Retired,Income: €72718,228.163.250.229,Mons,Traveling,Sports,Education
Katie,Garcia,80.05.22-302.22,4000,671 Pine Rd,+32 44 802 819,1980-05-22,45,1,4 members,1,Female,Belgium,katie.garcia@telenet.be,Employed,Income: €88258,102.69.237.166,Liège,Reading,Art,Banking
Laura,Garcia,86.09.17-820.65,5000,953 Pine Rd,+32 50 958 408,1986-09-17,39,2,5 members,1,Male,Belgium,laura.garcia@hotmail.com,Retired,Income: €38167,250.202.215.6,Namur,Gaming,Technology,IT
Linda,Garcia,01.10.04-908.39,8000,748 Elm St,+32 74 603 954,2001-10-04,24,2,4 members,2,Male,Belgium,linda.garcia@proximus.be,Unemployed,Income: €90153,70.174.63.72,Bruges,Reading,Art,Banking
Michael,Garcia,90.03.23-744.35,3000,425 Maple Dr,+32 39 553 771,1990-03-23,35,3,2 members,2,Male,Belgium,michael.garcia@gmail.com,Unemployed,Income: €59968,31.173.222.78,Leuven,Gaming,Finance,Education
Robert,Garcia,02.08.26-761.79,7000,270 Main St,+32 56 497 583,2002-08-26,23,2,5 members,2,Male,Belgium,robert.garcia@skynet.be,Unemployed,Income: €87184,92.107.118.99,Mons,Cooking,Sports,IT
Tom,Garcia,02.05.18-429.42,3000,929 Main St,+32 92 250 603,2002-05-18,23,2,5 members,2,Female,Belgium,tom.garcia@proximus.be,Student,Income: €26052,144.152.14.190,Leuven,Traveling,Sports,Healthcare
Alex,Davis,73.05.01-421.50,6000,253 Oak Ave,+32 75 246 875,1973-05-01,52,3,5 members,2,Male,Belgium,alex.davis@skynet.be,Student,Income: €28029,30.92.132.36,Charleroi,Traveling,Technology,IT
Anna,Davis,91.06.11-255.47,2000,705 Maple Dr,+32 40 320 288,1991-06-11,34,2,3 members,1,Male,Belgium,anna.davis@proximus.be,Student,Income: €29135,83.144.66.125,Antwerp,Gaming,Technology,Education
Chris,Davis,98.12.24-424.83,5000,736 Oak Ave,+32 75 159 378,1998-12-24,27,1,2 members,2,Male,Belgium,chris.davis@skynet.be,Retired,Income: €57491,44.26.199.131,Namur,Traveling,Technology,Education
Emily,Davis,84.06.27-768.49,6000,519 Pine Rd,+32 63 255 498,1984-06-27,41,2,5 members,2,Female,Belgium,emily.davis@skynet.be,Retired,Income: €44387,112.201.160.24,Charleroi,Gaming,Art,Healthcare
Jane,Davis,95.07.25-811.72,5000,91 Pine Rd,+32 33 575 568,1995-07-25,30,3,1 members,2,Female,Belgium,jane.davis@proximus.be,Student,Income: €58151,14.72.218.249,Namur,Gaming,Finance,Banking
John,Davis,78.12.05-578.23,8000,312 Maple Dr,+32 61 943 470,1978-12-05,47,1,1 members,2,Male,Belgium,john.davis@hotmail.com,Employed,Income: €30616,117.71.215.138,Bruges,Traveling,Finance,Banking
Katie,Davis,00.10.24-206.85,9000,833 Main St,+32 74 908 192,2000-10-24,25,1,3 members,2,Female,Belgium,katie.davis@gmail.com,Employed,Income: €84744,206.175.135.226,Ghent,Traveling,Technology,Healthcare
Laura,Davis,99.02.11-977.25,5000,938 Maple Dr,+32 93 492 949,1999-02-11,26,2,1 members,2,Female,Belgium,laura.davis@telenet.be,Unemployed,Income: €69806,67.187.171.40,Namur,Traveling,Finance,IT
Linda,Davis,79.03.28-525.70,2000,887 Maple Dr,+32 83 405 201,1979-03-28,46,3,4 members,1,Male,Belgium,linda.davis@hotmail.com,Retired,Income: €78619,107.16.254.97,Antwerp,Gaming,Art,Education
Michael,Davis,98.11.22-846.40,5000,360 Elm St,+32 35 337 556,1998-11-22,27,1,4 members,2,Female,Belgium,michael.davis@hotmail.com,Employed,Income: €76108,74.133.82.179,Namur,Reading,Technology,Banking
Robert,Davis,78.10.13-516.75,4000,961 Elm St,+32 74 139 994,1978-10-13,47,3,2 members,1,Female,Belgium,robert.davis@telenet.be,Employed,Income: €92312,179.101.141.86,Liège,Gaming,Art,Healthcare
Tom,Davis,74.07.27-338.48,4000,306 Pine Rd,+32 33 469 114,1974-07-27,51,2,3 members,1,Male,Belgium,tom.davis@hotmail.com,Unemployed,Income: €92085,182.54.94.211,Liège,Cooking,Finance,Education
Alex,Clark,88.07.12-864.50,5000,266 Pine Rd,+32 66 101 367,1988-07-12,37,1,2 members,2,Female,Belgium,alex.clark@telenet.be,Employed,Income: €28316,226.156.86.117,Namur,Gaming,Art,IT
Anna,Clark,02.03.21-414.33,3000,945 Pine Rd,+32 52 179 201,2002-03-21,23,1,1 members,2,Male,Belgium,anna.clark@hotmail.com,Unemployed,Income: €31309,229.48.188.36,Leuven,Reading,Art,Education
